SKU,Producto,Fecha,Cantidad,Origen,Usage Origen,Destino,Usage Destino,Clasificacion,Afecto Almacen (WH),Saldo Almacen Acumulado,Referencia,Lote
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 17:15:28,32.0,WH/stock,internal,WH/stock/64-C-7,internal,TRANSFERENCIA_INTERNA,NO,367.0,ZTYRES/TRASFERENCIA/INTERNA/04802,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 17:15:28,4.0,WH/stock,internal,WH/stock/63-C-7,internal,TRANSFERENCIA_INTERNA,NO,367.0,ZTYRES/TRASFERENCIA/INTERNA/04802,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-01-29 17:15:28,24.0,WH/stock,internal,WH/stock/63-C-8,internal,TRANSFERENCIA_INTERNA,NO,367.0,ZTYRES/TRASFERENCIA/INTERNA/04802,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-02-03 23:46:21,4.0,WH/stock,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,363.0,ZTYRES/ENTREGA/CLIENTE/139026,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-02-26 16:26:38,4.0,WH/stock,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,359.0,ZTYRES/ENTREGA/CLIENTE/142329,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-03-26 16:31:56,4.0,WH/stock,internal,Ubicaciones de Socios/Customers,customer,VENTA,SI,355.0,ZTYRES/ENTREGA/CLIENTE/145136,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-03-26 17:20:47,30.0,WH/stock/64-C-9,internal,WH/stock,internal,TRANSFERENCIA_INTERNA,NO,355.0,ZTYRES/TRASFERENCIA/INTERNA/05165,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-03-26 17:20:47,32.0,WH/stock/64-C-8,internal,WH/stock,internal,TRANSFERENCIA_INTERNA,NO,355.0,ZTYRES/TRASFERENCIA/INTERNA/05165,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-03-26 17:20:47,24.0,WH/stock/63-C-8,internal,WH/stock,internal,TRANSFERENCIA_INTERNA,NO,355.0,ZTYRES/TRASFERENCIA/INTERNA/05165,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-03-26 17:20:47,21.0,WH/stock/65-C-9,internal,WH/stock,internal,TRANSFERENCIA_INTERNA,NO,355.0,ZTYRES/TRASFERENCIA/INTERNA/05165,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-03-26 17:20:47,4.0,WH/stock/63-C-7,internal,WH/stock,internal,TRANSFERENCIA_INTERNA,NO,355.0,ZTYRES/TRASFERENCIA/INTERNA/05165,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-03-26 17:20:47,52.0,WH/stock,internal,WH/stock,internal,TRANSFERENCIA_INTERNA,NO,355.0,ZTYRES/TRASFERENCIA/INTERNA/05165,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-03-26 17:20:47,9.0,WH/stock/89-C-3,internal,WH/stock,internal,TRANSFERENCIA_INTERNA,NO,355.0,ZTYRES/TRASFERENCIA/INTERNA/05165,2025
R7DE6AVD,[R7DE6AVD] 245/75 R16 N10S FEDERAL XPLORA AT,2026-03-26 17:20:47,91.0,WH/stock,internal,WH/stock/130-A-1,internal,TRANSFERENCIA_INTERNA,NO,355.0,ZTYRES/TRASFERENCIA/INTERNA/05165,2025
